,PropertyName,TopFacilities,Link
0,Smartworld One DXP,"['Swimming Pool', 'Salon', 'Restaurant', 'Spa', 'Cafeteria', 'Sun Deck', '24x7 Security', 'Club House', 'Gated Community']",https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415
1,M3M Crown,"['Bowling Alley', 'Mini Theatre', 'Manicured Garden', 'Swimming Pool', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Barbecue', 'Sauna']",https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068
2,Adani Brahma Samsara Vilasa,"['Terrace Garden', 'Gazebo', 'Fountain', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Indoor Games']",https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995
3,Sobha City,"['Swimming Pool', 'Volley Ball Court', 'Aerobics Centre', 'Card Room', 'Barbecue', 'Sauna', 'Steam Room', 'Creche/Day care', 'Skating Rink']",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111
4,Signature Global City 93,"['Mini Theatre', 'Doctor on Call', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Salon']",https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456
5,Whiteland The Aspen,"['Reflexology Park', 'Card Room', 'High Speed Elevators', 'Sauna', 'Jacuzzi', 'Spa', 'Entrance Lobby', 'Yoga/Meditation Area', 'Club House']",https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309
6,Bestech Altura,"['Swimming Pool', 'Football', 'Flower Garden', 'Reading Lounge', 'School', 'Pergola', 'Skating Rink', 'Grocery Shop', 'Squash Court']",https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010
7,Elan The Presidential,"['Swimming Pool', 'Aerobics Centre', 'Shopping Centre', 'Video Door Security', 'Amphitheatre', 'Yoga/Meditation Area', 'CCTV Camera Security', 'Jogging Track', '24x7 Security']",https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451
8,Signature Global City 92,"['Swimming Pool', 'Reflexology Park', 'Terrace Garden', 'Waiting Lounge', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Sun Deck', 'Amphitheatre']",https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657
9,Emaar Digihomes,"['Mini Theatre', 'Swimming Pool', 'Salon', 'Card Room', 'Restaurant', 'Spa', 'Creche/Day care', 'Banquet Hall', 'Lawn Tennis Court']",https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369
